Experiment	Well	Rate	  R	Max OD	 lagTime
Efm_OD_42_new	EFM4s_12	0.01499	0.99862	0.888	122.3
Efm_OD_42_new	EFM4s_13	0.01554	0.99937	0.908	127.8
Efm_OD_42_new	EFM4s_14	0.01553	0.99932	0.907	128.6
Efm_OD_42_new	EFM4s_15	0.01518	0.99899	0.925	120.4
Efm_OD_42_new	EFM4s_16	0.01515	0.99876	0.908	120.9
Efm_OD_42_new	EFM4s_17	0.01513	0.99878	0.898	121.7
Efm_OD_42_new	EFM4s_18	0.01481	0.99853	0.908	122.3
Efm_OD_42_new	EFM4s_19	0.01519	0.99875	0.903	120.0
Efm_OD_42_new	EFM4s_20	0.01543	0.99877	0.927	119.2
Efm_OD_42_new	EFM11s_1	0.00879	0.99927	0.787	155.3
Efm_OD_42_new	EFM11s_2	0.00887	0.99871	0.811	157.2
Efm_OD_42_new	EFM11s_3	0.00853	0.99928	0.796	161.9
Efm_OD_42_new	EFM11s_4	0.00848	0.99941	0.796	157.0
Efm_OD_42_new	EFM11s_5	0.00876	0.99923	0.775	168.7
Efm_OD_42_new	EFM11s_6	0.00860	0.99868	0.785	167.5
Efm_OD_42_new	EFM11s_7	0.00870	0.99928	0.787	153.7
Efm_OD_42_new	EFM11s_8	0.00865	0.99918	0.795	152.5
Efm_OD_42_new	EFM11s_9	0.00900	0.99963	0.777	152.7
Efm_OD_42_new	EFM11s_10	0.00898	0.99948	0.800	149.9
Efm_OD_42_new	EFM11s_11	0.01029	0.99763	0.771	169.0
Efm_OD_42_new	EFM11s_12	0.00972	0.99695	0.767	167.9
Efm_OD_42_new	EFM11s_13	0.00941	0.99801	0.762	157.3
Efm_OD_42_new	EFM11s_14	0.00967	0.99807	0.755	160.9
Efm_OD_42_new	EFM11s_15	0.00954	0.99837	0.770	150.0
Efm_OD_42_new	EFM11s_16	0.00949	0.99872	0.774	147.1
Efm_OD_42_new	EFM11s_17	0.00964	0.99852	0.764	148.0
Efm_OD_42_new	EFM11s_18	0.00973	0.99844	0.773	150.4
Efm_OD_42_new	EFM11s_19	0.00969	0.99802	0.765	155.3
Efm_OD_42_new	EFM11s_20	0.00957	0.99887	0.796	149.3
Efm_OD_42_new	EFM26s_1	0.01544	0.99883	0.904	89.1
Efm_OD_42_new	EFM26s_2	0.01559	0.99852	0.910	92.0
Efm_OD_42_new	EFM26s_3	0.01542	0.99860	0.899	93.0
Efm_OD_42_new	EFM26s_4	0.01542	0.99860	0.921	94.0
Efm_OD_42_new	EFM26s_5	0.01539	0.99812	0.877	101.1
Efm_OD_42_new	EFM26s_6	0.01662	0.99929	0.888	102.9
Efm_OD_42_new	EFM26s_7	0.01613	0.99868	0.885	92.2
Efm_OD_42_new	EFM26s_8	0.01615	0.99862	0.902	90.9
Efm_OD_42_new	EFM26s_9	0.01594	0.99832	0.915	94.3
Efm_OD_42_new	EFM26s_10	0.01561	0.99833	0.908	93.0
Efm_OD_42_new	EFM26s_11	0.01645	0.99953	0.904	96.8
Efm_OD_42_new	EFM26s_12	0.01612	0.99948	0.887	95.1
Efm_OD_42_new	EFM26s_13	0.01614	0.99941	0.867	95.0
Efm_OD_42_new	EFM26s_14	0.01545	0.99803	0.905	98.5
Efm_OD_42_new	EFM26s_15	0.01540	0.99803	0.899	99.5
Efm_OD_42_new	EFM26s_16	0.01547	0.99874	0.889	103.1
Efm_OD_42_new	EFM26s_17	0.01538	0.99852	0.915	103.3
Efm_OD_42_new	EFM26s_18	0.01614	0.99875	0.885	84.0
Efm_OD_42_new	EFM26s_19	0.01546	0.99818	0.919	80.9
Efm_OD_42_new	X64_1	0.01257	0.99908	0.895	152.7
Efm_OD_42_new	X64_2	0.01265	0.99898	1.017	153.9
Efm_OD_42_new	X64_3	0.01316	0.99927	0.979	167.5
Efm_OD_42_new	X64_4	0.01291	0.99923	0.988	164.3
Efm_OD_42_new	X64_5	0.01317	0.99907	1.005	156.4
Efm_OD_42_new	X64_6	0.01324	0.99926	0.928	152.5
Efm_OD_42_new	X64_7	0.01217	0.99922	0.912	166.9
Efm_OD_42_new	X64_8	0.01222	0.99891	0.931	168.6
Efm_OD_42_new	X64_9	0.01302	0.99922	0.924	154.6
Efm_OD_42_new	X64_10	0.01302	0.99928	0.908	154.2
Efm_OD_42_new	X64_11	0.01251	0.99882	1.015	120.3
Efm_OD_42_new	X64_12	0.01310	0.99904	1.026	121.2
Efm_OD_42_new	X64_13	0.01330	0.99946	1.021	126.8
Efm_OD_42_new	X64_14	0.01343	0.99944	1.018	127.7
Efm_OD_42_new	X64_15	0.01328	0.99853	1.052	128.2
Efm_OD_42_new	X64_16	0.01321	0.99899	1.042	126.9
Efm_OD_42_new	X64_17	0.01320	0.99920	1.031	127.5
Efm_OD_42_new	X64_18	0.01310	0.99908	1.044	128.1
Efm_OD_42_new	X64_19	0.01305	0.99907	0.990	130.6
Efm_OD_42_new	X64_20	0.01295	0.99918	0.990	130.0
Efm_OD_42_new	EFM22s_1	0.01382	0.99882	0.882	114.2
Efm_OD_42_new	EFM22s_2	0.01306	0.99854	0.903	119.8
Efm_OD_42_new	EFM22s_3	0.01371	0.99790	0.884	111.0
Efm_OD_42_new	EFM22s_4	0.01378	0.99800	0.865	110.6
Efm_OD_42_new	EFM22s_5	0.01372	0.99876	0.887	118.5
Efm_OD_42_new	EFM22s_6	0.01412	0.99869	0.902	118.8
Efm_OD_42_new	EFM22s_7	0.01436	0.99889	0.873	113.0
Efm_OD_42_new	EFM22s_8	0.01358	0.99857	0.910	114.3
Efm_OD_42_new	EFM22s_9	0.01438	0.99838	0.858	111.5
Efm_OD_42_new	EFM22s_10	0.01384	0.99889	0.860	107.0
Efm_OD_42_new	EFM22s_11	0.01520	0.99827	0.916	108.0
Efm_OD_42_new	EFM22s_12	0.01491	0.99881	0.912	106.7
Efm_OD_42_new	EFM22s_13	0.01466	0.99804	0.897	114.6
Efm_OD_42_new	EFM22s_14	0.01461	0.99833	0.904	115.2
Efm_OD_42_new	EFM22s_15	0.01475	0.99825	0.901	113.2
Efm_OD_42_new	EFM22s_16	0.01490	0.99820	0.906	111.6
Efm_OD_42_new	EFM22s_17	0.01472	0.99797	0.881	109.7
Efm_OD_42_new	EFM22s_18	0.01499	0.99812	0.894	110.5
Efm_OD_42_new	EFM22s_19	0.01469	0.99798	0.901	110.9
Efm_OD_42_new	EFM22s_20	0.01553	0.99928	0.912	112.6
Efm_OD_42_new	EFM21s_1	0.01579	0.99849	0.867	125.0
Efm_OD_42_new	EFM21s_2	0.01589	0.99824	0.881	125.9
Efm_OD_42_new	EFM21s_3	0.01579	0.99804	0.888	125.0
Efm_OD_42_new	EFM21s_4	0.01575	0.99820	0.890	125.2
Efm_OD_42_new	EFM21s_5	0.01690	0.99916	0.857	120.3
Efm_OD_42_new	EFM21s_6	0.01735	0.99934	0.882	118.7
Efm_OD_42_new	EFM21s_7	0.01683	0.99900	0.860	131.2
Efm_OD_42_new	EFM21s_8	0.01715	0.99904	0.881	130.2
Efm_OD_42_new	EFM21s_9	0.01679	0.99907	0.871	130.6
Efm_OD_42_new	EFM21s_10	0.01647	0.99885	0.857	130.9
Efm_OD_42_new	EFM21s_11	0.01581	0.99787	0.853	105.4
Efm_OD_42_new	EFM21s_12	0.01606	0.99804	0.878	105.9
Efm_OD_42_new	EFM21s_13	0.01660	0.99904	0.874	118.6
Efm_OD_42_new	EFM21s_14	0.01665	0.99911	0.866	118.1
Efm_OD_42_new	EFM21s_15	0.01609	0.99794	0.844	125.9
Efm_OD_42_new	EFM21s_16	0.01616	0.99824	0.863	124.5
Efm_OD_42_new	EFM21s_17	0.01687	0.99850	0.872	111.5
Efm_OD_42_new	EFM21s_18	0.01659	0.99785	0.866	109.7
Efm_OD_42_new	EFM21s_19	0.01614	0.99779	0.863	119.5
Efm_OD_42_new	EFM21s_20	0.01643	0.99773	0.889	118.9
Efm_OD_42_new	EFM12s_1	0.01006	0.99908	0.557	163.4
Efm_OD_42_new	EFM12s_2	0.01035	0.99903	0.584	164.9
Efm_OD_42_new	EFM12s_3	0.01062	0.99858	0.674	139.4
Efm_OD_42_new	EFM12s_4	0.01115	0.99923	0.687	142.5
Efm_OD_42_new	EFM12s_5	0.01092	0.99872	0.671	141.9
Efm_OD_42_new	EFM12s_6	0.01089	0.99883	0.671	139.9
